side,interval,ce,n_infected,index,20,25,30,35,40,45,50
5,10,10,148,28,0.1,0.08,0.0667,0.1714,0.175,0.1778,0.2
5,10,10,174,29,0.15,0.16,0.1667,0.2571,0.275,0.3333,0.34
5,10,10,154,30,0.05,0.04,0.1,0.0857,0.1,0.1556,0.24
5,10,10,143,31,0.0,0.0,0.0667,0.0857,0.125,0.1778,0.2
5,10,10,140,32,0.1,0.08,0.1333,0.1429,0.15,0.2,0.3
5,10,10,149,33,0.05,0.08,0.1333,0.2571,0.325,0.3111,0.32
5,10,10,149,34,0.05,0.12,0.1333,0.2286,0.275,0.2889,0.28
5,10,10,148,35,0.05,0.08,0.1,0.1143,0.125,0.1556,0.2
5,10,10,137,36,0.0,0.04,0.0667,0.1143,0.125,0.1111,0.14
5,10,10,133,37,0.0,0.04,0.0333,0.1143,0.175,0.2222,0.3
5,10,10,143,38,0.0,0.0,0.0,0.0286,0.1,0.1556,0.22
5,10,10,140,39,0.05,0.08,0.0667,0.1143,0.2,0.2667,0.3
5,10,10,160,40,0.0,0.04,0.0667,0.1714,0.175,0.2222,0.26
5,10,10,129,41,0.05,0.04,0.0333,0.1143,0.125,0.1333,0.2
5,10,10,145,42,0.0,0.04,0.1,0.0857,0.125,0.1556,0.2
5,10,10,153,43,0.05,0.04,0.0667,0.0857,0.1,0.0889,0.14
5,10,10,149,44,0.05,0.04,0.0667,0.1143,0.15,0.1556,0.16
5,10,10,136,45,0.0,0.0,0.0333,0.0571,0.15,0.2222,0.24
5,10,10,141,46,0.1,0.16,0.1667,0.1429,0.175,0.2,0.26
5,10,10,136,47,0.05,0.08,0.2,0.2,0.225,0.2889,0.28
5,10,10,131,48,0.0,0.08,0.1333,0.1429,0.125,0.1556,0.18
5,10,10,132,49,0.0,0.0,0.1,0.2,0.275,0.3333,0.34
5,10,10,140,50,0.05,0.04,0.0667,0.0857,0.1,0.1333,0.14
5,10,10,152,51,0.0,0.0,0.0,0.0286,0.05,0.0889,0.08
5,10,10,150,52,0.05,0.04,0.0667,0.1143,0.175,0.2222,0.24
5,10,10,125,53,0.05,0.12,0.1667,0.2286,0.275,0.3111,0.32
5,10,10,154,54,0.05,0.04,0.0667,0.0857,0.125,0.1111,0.16
5,10,10,135,55,0.0,0.04,0.1,0.1143,0.25,0.2222,0.22
5,10,10,145,56,0.0,0.04,0.0667,0.1714,0.2,0.2444,0.3
5,10,10,131,57,0.1,0.12,0.2,0.3143,0.325,0.3333,0.34
5,10,10,142,58,0.05,0.12,0.1667,0.3143,0.325,0.3556,0.38
5,10,10,125,59,0.0,0.0,0.0,0.0,0.025,0.0667,0.08
5,10,10,162,60,0.05,0.04,0.1,0.1143,0.125,0.1333,0.2
5,10,10,140,61,0.1,0.08,0.0667,0.1143,0.175,0.2222,0.22
5,10,10,133,62,0.1,0.08,0.1667,0.1714,0.2,0.2,0.22
5,10,10,129,63,0.1,0.16,0.1667,0.1429,0.15,0.1778,0.18
5,10,10,120,64,0.05,0.04,0.0333,0.0571,0.075,0.0667,0.12
5,10,10,147,65,0.0,0.0,0.0667,0.0857,0.125,0.1778,0.18
5,10,10,134,66,0.05,0.12,0.2333,0.2286,0.225,0.2889,0.36
5,10,10,136,67,0.05,0.04,0.0333,0.1429,0.15,0.1556,0.16
5,10,10,148,68,0.1,0.08,0.1,0.1429,0.125,0.1778,0.16
5,10,10,126,69,0.05,0.04,0.0667,0.1143,0.175,0.2222,0.22
5,10,10,156,70,0.2,0.16,0.1333,0.2,0.175,0.1778,0.2
5,10,10,128,71,0.15,0.12,0.1,0.1714,0.2,0.2667,0.26
5,10,10,125,72,0.1,0.08,0.1,0.1714,0.175,0.1778,0.22
5,10,10,136,73,0.15,0.2,0.2,0.1714,0.225,0.2222,0.26
5,10,10,138,74,0.0,0.0,0.0,0.0,0.0,0.1111,0.12
5,10,10,157,75,0.05,0.04,0.0667,0.1714,0.175,0.2667,0.26
5,10,10,129,76,0.0,0.0,0.0667,0.1143,0.1,0.1556,0.2
5,10,10,156,77,0.15,0.12,0.1333,0.1714,0.15,0.2,0.24
5,10,10,138,78,0.05,0.08,0.1,0.0857,0.125,0.1111,0.1
5,10,10,146,79,0.05,0.04,0.1,0.2,0.225,0.2222,0.22
5,10,10,130,80,0.1,0.2,0.2333,0.2857,0.275,0.3111,0.32
5,10,10,138,81,0.15,0.24,0.2333,0.2286,0.25,0.2889,0.3
5,10,10,115,82,0.05,0.04,0.0667,0.0857,0.125,0.2444,0.26
5,10,10,160,83,0.05,0.08,0.0667,0.1143,0.15,0.1778,0.16
5,10,10,140,84,0.05,0.04,0.0667,0.1714,0.15,0.1556,0.2
5,10,10,140,85,0.05,0.08,0.1,0.1714,0.2,0.2444,0.28
5,10,10,134,86,0.05,0.04,0.0333,0.1714,0.225,0.2,0.2
5,10,10,142,87,0.0,0.0,0.0333,0.0857,0.1,0.1333,0.16
5,10,10,133,88,0.0,0.0,0.0,0.0286,0.1,0.1778,0.2
5,10,10,132,89,0.0,0.0,0.0,0.0286,0.05,0.0667,0.16
5,10,10,135,90,0.05,0.08,0.1667,0.1714,0.25,0.2222,0.28
5,10,10,140,91,0.1,0.08,0.1,0.1143,0.1,0.1778,0.16
5,10,10,126,92,0.0,0.04,0.1,0.1714,0.2,0.2667,0.28
5,10,10,118,93,0.15,0.12,0.1,0.1143,0.125,0.1111,0.14
5,10,10,143,94,0.1,0.08,0.1,0.1429,0.125,0.1556,0.16
5,10,10,153,95,0.0,0.0,0.0667,0.0857,0.075,0.0889,0.18
5,10,10,146,96,0.1,0.08,0.1,0.0857,0.15,0.1556,0.2
5,10,10,141,97,0.15,0.12,0.1667,0.1714,0.175,0.2,0.22
5,10,10,144,98,0.1,0.12,0.1667,0.1714,0.175,0.2444,0.28
5,10,10,141,99,0.1,0.08,0.1333,0.2286,0.275,0.2889,0.38
5,15,10,166,0,1.0,0.88,0.8333,0.8,0.725,0.6667,0.62
5,15,10,190,1,0.0,0.0,0.0333,0.1143,0.15,0.2,0.26
5,15,10,166,2,0.0,0.0,0.0333,0.0857,0.1,0.1111,0.18
5,15,10,161,3,0.0,0.0,0.0,0.0,0.15,0.1778,0.2
5,15,10,162,4,0.0,0.04,0.1,0.1143,0.1,0.1111,0.14
5,15,10,167,5,0.05,0.16,0.2333,0.3143,0.35,0.3333,0.34
5,15,10,165,6,0.05,0.04,0.0333,0.0286,0.025,0.0222,0.04
5,15,10,170,7,0.05,0.04,0.0667,0.1143,0.15,0.2,0.24
5,15,10,184,8,0.1,0.08,0.0667,0.0857,0.125,0.2,0.2
5,15,10,189,9,0.0,0.16,0.2,0.3429,0.35,0.3778,0.34
5,15,10,166,10,0.0,0.0,0.0333,0.0286,0.1,0.0889,0.1
5,15,10,168,11,0.05,0.16,0.2333,0.2286,0.225,0.2444,0.24
5,15,10,159,12,0.1,0.12,0.1667,0.2286,0.275,0.2889,0.28
5,15,10,178,13,0.1,0.08,0.2333,0.2857,0.325,0.3556,0.36
5,15,10,163,14,0.05,0.04,0.0333,0.1714,0.2,0.2667,0.28
5,15,10,195,15,0.0,0.04,0.1333,0.1429,0.175,0.2222,0.26
5,15,10,164,16,0.1,0.12,0.1667,0.2286,0.25,0.2667,0.26
5,15,10,175,17,0.0,0.0,0.0,0.0286,0.025,0.0889,0.08
5,15,10,191,18,0.05,0.04,0.1333,0.2,0.225,0.3111,0.28
5,15,10,163,19,0.1,0.08,0.1,0.1714,0.2,0.2444,0.24
5,15,10,185,20,0.1,0.08,0.0667,0.1429,0.225,0.2222,0.22
5,15,10,173,21,0.1,0.12,0.2333,0.2857,0.25,0.2889,0.32
5,15,10,179,22,0.05,0.04,0.0333,0.1143,0.15,0.2444,0.24
5,15,10,183,23,0.05,0.16,0.2667,0.2571,0.25,0.3333,0.32
5,15,10,162,24,0.05,0.12,0.2,0.2,0.225,0.2889,0.28
5,15,10,187,25,0.1,0.08,0.0667,0.1714,0.2,0.2,0.2
5,15,10,183,26,0.1,0.08,0.0667,0.2,0.275,0.2667,0.26
5,15,10,186,27,0.05,0.12,0.1,0.0857,0.1,0.1111,0.14
5,15,10,176,28,0.1,0.08,0.1,0.2286,0.2,0.2,0.18
5,15,10,193,29,0.15,0.16,0.2,0.2571,0.3,0.3111,0.3
5,15,10,178,30,0.05,0.04,0.1,0.0857,0.1,0.1111,0.2
5,15,10,165,31,0.0,0.04,0.1,0.1143,0.125,0.2,0.22
5,15,10,161,32,0.1,0.08,0.1,0.1429,0.2,0.2222,0.28
5,15,10,171,33,0.05,0.12,0.1333,0.2857,0.3,0.3111,0.32
5,15,10,184,34,0.05,0.12,0.1667,0.2286,0.25,0.3111,0.3
5,15,10,169,35,0.05,0.08,0.1,0.1143,0.1,0.1556,0.18
5,15,10,169,36,0.0,0.04,0.0667,0.0857,0.125,0.1111,0.14
5,15,10,151,37,0.0,0.04,0.0333,0.0857,0.125,0.2,0.24
5,15,10,162,38,0.0,0.0,0.0,0.0571,0.125,0.1556,0.18
5,15,10,169,39,0.05,0.08,0.0667,0.1429,0.2,0.2444,0.26
5,15,10,197,40,0.0,0.04,0.0667,0.1143,0.125,0.1333,0.2
5,15,10,150,41,0.05,0.04,0.0333,0.0571,0.1,0.1111,0.14
